date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2005-11-15,Milk - Retail,L,milk and dairy,58.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2005-12-15,Milk - Retail,L,milk and dairy,61.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-01-15,Milk - Retail,L,milk and dairy,65.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-02-15,Milk - Retail,L,milk and dairy,68.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-03-15,Milk - Retail,L,milk and dairy,68.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-04-15,Milk - Retail,L,milk and dairy,60.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-05-15,Milk - Retail,L,milk and dairy,59.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-06-15,Milk - Retail,L,milk and dairy,59.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-07-15,Milk - Retail,L,milk and dairy,58.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-08-15,Milk - Retail,L,milk and dairy,58.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-09-15,Milk - Retail,L,milk and dairy,60.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-10-15,Milk - Retail,L,milk and dairy,61.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-11-15,Milk - Retail,L,milk and dairy,61.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2006-12-15,Milk - Retail,L,milk and dairy,63.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-01-15,Milk - Retail,L,milk and dairy,68.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-02-15,Milk - Retail,L,milk and dairy,71.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-03-15,Milk - Retail,L,milk and dairy,75.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-04-15,Milk - Retail,L,milk and dairy,75.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-05-15,Milk - Retail,L,milk and dairy,75.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-06-15,Milk - Retail,L,milk and dairy,67.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-07-15,Milk - Retail,L,milk and dairy,67.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-08-15,Milk - Retail,L,milk and dairy,71.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-09-15,Milk - Retail,L,milk and dairy,73.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-10-15,Milk - Retail,L,milk and dairy,75.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-11-15,Milk - Retail,L,milk and dairy,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2007-12-15,Milk - Retail,L,milk and dairy,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-01-15,Milk - Retail,L,milk and dairy,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-02-15,Milk - Retail,L,milk and dairy,83.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-03-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-04-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-05-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-06-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-07-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-08-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-09-15,Milk - Retail,L,milk and dairy,85.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-10-15,Milk - Retail,L,milk and dairy,86.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-11-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2008-12-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-01-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-02-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-03-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-04-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-05-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-06-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-07-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-08-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-09-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-10-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-11-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-12-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-01-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-02-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-03-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-04-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-05-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-06-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-07-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-08-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-09-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-10-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-11-15,Milk - Retail,L,milk and dairy,103.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-12-15,Milk - Retail,L,milk and dairy,103.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-01-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-02-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-03-15,Milk - Retail,L,milk and dairy,115.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-04-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-05-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-06-15,Milk - Retail,L,milk and dairy,115.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-07-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
